CustomerID,Age,Income,Product,Amount,Region
1,53,83835,A,1818,North
2,55,52784,B,1785,South
3,66,79544,D,4478,North
4,26,115156,C,4436,South
5,46,111132,D,4055,East
6,34,84610,E,2220,North
7,41,107399,A,2165,South
8,38,114086,D,3086,North
9,39,59063,E,3303,South
10,34,30944,E,4094,South
11,36,44821,C,4049,West
12,64,43112,E,1453,South
13,50,41252,B,1026,East
14,35,34174,E,1348,South
15,52,74790,C,4405,West
16,68,112207,A,3648,North
17,38,50136,C,3490,West
18,62,64593,B,2741,South
19,65,110147,C,1408,West
20,29,109743,D,2832,South
21,59,32040,A,2616,West
22,55,91963,D,4899,South
23,52,51539,D,2525,South
24,43,32881,A,2052,South
25,59,64930,A,3622,North
26,37,52655,B,4698,South
27,38,119422,B,2998,North
28,54,115208,E,2894,South
29,46,54353,E,599,North
30,51,91451,D,3971,East
31,44,101857,E,2960,West
32,47,101080,D,3816,East
33,63,102704,D,1492,North
34,53,52773,A,1850,West
35,61,70434,E,3308,East
36,42,84525,D,1582,South
37,48,90583,E,3961,East
38,57,101431,A,2384,East
39,70,37928,D,3539,North
40,62,112988,A,2986,South
41,50,113282,C,2725,North
42,42,81592,A,1789,East
43,54,107206,E,1139,East
44,47,42607,A,4788,East
45,68,52556,C,4165,South
46,30,94388,E,3160,North
47,32,118270,E,1572,East
48,21,71344,C,4605,North
49,49,31949,A,2381,South
50,63,65567,E,2758,South
51,41,44623,B,1174,North
52,21,75580,E,3304,North
53,38,37905,C,4305,North
54,21,102662,A,4905,North
55,70,100791,D,3510,West
56,22,99558,B,4670,East
57,35,51940,D,3676,East
58,39,31217,A,3915,West
59,53,41105,C,2636,West
60,20,57654,B,2260,North
61,43,101015,E,1878,West
62,24,108995,C,3796,West
63,69,109252,D,1486,West
64,58,102182,E,3616,North
65,28,98157,E,2437,North
66,38,72934,C,4847,North
67,31,108200,D,4611,East
68,25,104472,A,1316,South
69,22,57431,C,2470,North
70,22,65568,A,3183,West
71,64,36755,B,2131,West
72,37,50319,C,3238,West
73,25,60261,A,2653,South
74,26,33258,C,4130,East
75,47,49934,E,2333,South
76,59,62600,E,4074,West
77,26,85219,C,1392,North
78,26,61683,C,673,North
79,54,43807,D,2639,East
80,57,93485,C,4566,East
81,46,30069,B,3158,South
82,21,58824,E,1015,West
83,42,103831,C,2740,North
84,53,77354,D,3314,East
85,64,102336,E,1113,North
86,66,68487,D,3993,North
87,56,59602,B,1845,East
88,66,44678,A,2761,West
89,65,100469,A,4940,West
90,37,73118,E,1605,South
91,24,85687,B,3581,East
92,52,49746,C,2656,South
93,23,82881,E,1539,East
94,65,114993,D,2282,South
95,31,35993,D,2372,East
96,51,46969,D,3729,West
97,55,44323,B,844,West
98,60,79654,E,1785,West
99,42,118991,D,1643,West
100,53,93558,A,3860,East
101,36,77537,B,3728,West
102,33,51707,C,4585,South
103,42,86577,E,3586,North
104,44,78630,A,3341,East
105,56,79883,E,2187,South
106,22,89079,A,3172,South
107,53,75662,B,1647,West
108,36,48371,A,3090,West
109,45,93493,C,3049,North
110,30,55252,D,3807,North
111,39,38053,A,4446,South
112,24,94284,B,1830,East
113,45,98052,D,3366,North
114,28,73920,B,4898,North
115,69,84007,D,3124,West
116,60,94725,B,2913,South
117,43,119156,E,2386,East
118,65,42805,D,2118,East
119,52,106671,E,4301,West
120,59,94495,D,4407,North
121,59,89617,C,4601,West
122,58,96851,A,2226,North
123,63,76181,C,1453,West
124,38,104633,A,1807,East
125,70,91261,C,3249,West
126,23,96852,E,4108,North
127,70,76689,E,1152,North
128,42,86610,A,4426,East
129,25,40974,C,2583,North
130,51,98043,E,2931,West
131,49,114573,E,4059,North
132,58,65609,D,1940,East
133,65,95878,E,646,South
134,36,58341,A,1171,North
135,42,97945,E,2239,North
136,20,78434,D,2360,West
137,27,45333,C,1264,North
138,22,80892,C,2600,North
139,39,44946,D,2969,East
140,30,81652,B,2543,West
141,35,64389,C,769,East
142,61,81588,C,1141,South
143,58,96739,B,1936,North
144,49,55960,A,4274,North
145,63,54598,E,4018,South
146,28,44976,C,1175,West
147,46,53337,B,821,East
148,21,108157,A,2959,North
149,43,68582,E,678,East
150,20,103899,C,2633,North
151,67,37065,A,939,West
152,64,79591,A,1327,North
153,31,34753,D,2598,South
154,33,89136,B,2851,East
155,30,102541,D,1547,North
156,42,100007,A,3358,East
157,48,79209,B,1991,North
158,56,116980,A,4541,West
159,65,44759,B,1388,West
160,67,63157,B,797,North
161,40,119961,B,3631,South
162,67,119111,D,4522,West
163,58,86160,B,2816,North
164,37,41664,D,4306,North
165,45,63667,B,3412,West
166,24,93209,E,1855,East
167,26,113411,C,569,South
168,48,64403,B,2412,East
169,40,38809,C,1667,South
170,25,60240,B,2338,South
171,27,71092,C,787,East
172,34,54144,C,2506,West
173,23,108956,E,1642,South
174,45,70628,A,4734,East
175,28,39211,B,4673,East
176,68,106429,B,1145,East
177,41,102817,D,2167,North
178,25,53105,C,3924,North
179,69,75689,E,3632,South
180,40,116369,E,4554,North
181,30,108210,B,3190,West
182,63,54925,B,1897,West
183,60,31976,A,4571,North
184,42,84007,D,4184,South
185,58,110520,B,2565,East
